Removed Pin From Net: NetName=DIG_O_15V_A1 Pin=NT1-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P1 Pin=NT1-2
Removed Pin From Net: NetName=DIG_O_15V_B1 Pin=NT2-1
Removed Pin From Net: NetName=DIG_I_DIFF_B_P1 Pin=NT2-2
Removed Pin From Net: NetName=DIG_O_15V_C1 Pin=NT3-1
Removed Pin From Net: NetName=DIG_I_DIFF_C_P1 Pin=NT3-2
Removed Pin From Net: NetName=DIG_O_15V_D1 Pin=NT4-1
Removed Pin From Net: NetName=DIG_I_DIFF_D_P1 Pin=NT4-2
Removed Pin From Net: NetName=DIG_O_15V_F1 Pin=NT6-1
Removed Pin From Net: NetName=DIG_I_DIFF_B_P2 Pin=NT6-2
Removed Pin From Net: NetName=DIG_O_15V_B2 Pin=NT8-1
Removed Pin From Net: NetName=DIG_I_DIFF_D_P2 Pin=NT8-2
Removed Pin From Net: NetName=DIG_O_15V_C2 Pin=NT9-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P3 Pin=NT9-2
Removed Pin From Net: NetName=DIG_O_15V_E2 Pin=NT11-1
Removed Pin From Net: NetName=DIG_I_DIFF_C_P3 Pin=NT11-2
Removed Pin From Net: NetName=DIG_O_15V_F2 Pin=NT12-1
Removed Pin From Net: NetName=DIG_I_DIFF_D_P3 Pin=NT12-2
Removed Pin From Net: NetName=DIG_O_15V_A3 Pin=NT13-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P4 Pin=NT13-2
Removed Pin From Net: NetName=DIG_O_15V_B3 Pin=NT14-1
Removed Pin From Net: NetName=DIG_I_DIFF_B_P4 Pin=NT14-2
Removed Pin From Net: NetName=DIG_O_15V_E3 Pin=NT17-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P5 Pin=NT17-2
Removed Pin From Net: NetName=DIG_O_15V_F3 Pin=NT18-1
Removed Pin From Net: NetName=DIG_I_DIFF_B_P5 Pin=NT18-2
Removed Pin From Net: NetName=DIG_O_15V_B4 Pin=NT20-1
Removed Pin From Net: NetName=DIG_I_DIFF_D_P5 Pin=NT20-2
Removed Pin From Net: NetName=DIG_O_15V_E4 Pin=NT23-1
Removed Pin From Net: NetName=DIG_I_DIFF_C_P6 Pin=NT23-2
Removed Pin From Net: NetName=DIG_O_15V_F4 Pin=NT24-1
Removed Pin From Net: NetName=DIG_I_DIFF_D_P6 Pin=NT24-2
Removed Pin From Net: NetName=DIG_O_15V_A5 Pin=NT25-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P7 Pin=NT25-2
Removed Pin From Net: NetName=DIG_O_15V_C5 Pin=NT27-1
Removed Pin From Net: NetName=DIG_I_DIFF_C_P7 Pin=NT27-2
Removed Pin From Net: NetName=DIG_O_15V_E5 Pin=NT29-1
Removed Pin From Net: NetName=DIG_I_DIFF_A_P8 Pin=NT29-2
Removed Pin From Net: NetName=DIG_O_15V_F5 Pin=NT30-1
Removed Pin From Net: NetName=DIG_I_DIFF_C_P8 Pin=NT30-2
Removed Pin From Net: NetName=GND Pin=R3-1
Removed Pin From Net: NetName=GND Pin=R3-2
Removed Pin From Net: NetName=GND Pin=R3-3
Removed Pin From Net: NetName=GND Pin=R3-4
Removed Pin From Net: NetName=GND Pin=R3-5
Removed Pin From Net: NetName=GND Pin=R3-6
Removed Pin From Net: NetName=GND Pin=R3-7
Removed Pin From Net: NetName=GND Pin=R3-8
Removed Pin From Net: NetName=DIG_IO_N8 Pin=R3-9
Removed Pin From Net: NetName=DIG_IO_N7 Pin=R3-10
Removed Pin From Net: NetName=DIG_IO_N6 Pin=R3-11
Removed Pin From Net: NetName=DIG_IO_N5 Pin=R3-12
Removed Pin From Net: NetName=DIG_IO_N4 Pin=R3-13
Removed Pin From Net: NetName=DIG_IO_N3 Pin=R3-14
Removed Pin From Net: NetName=DIG_IO_N2 Pin=R3-15
Removed Pin From Net: NetName=DIG_IO_N1 Pin=R3-16
